"","OneDENL","TwoDENLCV","TwoDENL","ScanOneDENL","ScanTwoDENL","HeterogeneityIndex","TotalLacunarity","RH25","RH98","CR","fsg","ch","cbh","uh","ID"
"1",4.95405974833557,0.58825363411158,4.43567824709553,12.1860314233897,10.154688624246,0.892593930138891,20.5617354952048,3.10298621745789,7.09525267993874,0.562667271000604,1,6.25,4.5,3,1
"2",5.70825968226101,0.54673389381736,5.10551578637305,12.2692463689098,10.5732154640959,0.828890940872828,29.1859590378636,3.03922155688623,7.87079041916168,0.613860693141168,1,6.75,4.75,3.5,10
"3",6.62841967712199,0.516538256169553,5.9242733485265,14.223761509094,12.4492623189478,0.801321347972542,31.7883949439601,3.52278820375335,9.42606970509383,0.626271785169418,1.25,8.25,5.5,3.75,100
"4",6.99361073019534,0.568008374708364,6.13624475033533,17.9051825289638,16.4595040780834,0.814020832397602,28.0372823674707,4.46280420353982,11.4103650442478,0.608881557580875,2,10,6.5,3.25,1000
"5",7.56443573164557,0.533130297430474,6.63183304395771,17.4569343352131,16.0138298139485,0.778286071735963,38.7714849502926,4.45446194225722,11.918530183727,0.626257443359994,2.25,10.25,7,3.75,1001
"6",7.91531410735658,0.506163687781545,6.95273251061831,17.9743185843732,16.5746280589922,0.770428725566382,36.1680440058996,4.64966075156576,12.6305532359081,0.631871964377065,2.5,10.75,7.5,4,1002
"7",8.46765022911934,0.498147511383411,7.44682788048283,18.2648884323482,16.9060264199908,0.735811833086467,37.1420839201634,4.72458270106222,13.0319170460293,0.63746065261352,2.5,11.25,7.75,4,1003
"8",5.16023151618368,0.706330980694162,4.53592340156544,17.2467438186023,15.305321159578,0.845467063054212,141.415402822977,3.88995568685377,8.78624815361891,0.557267718957885,1.5,8.5,5.5,2.5,1004
"9",5.82818895895916,0.648128363368543,5.13285542896875,16.4270402783922,14.8016186562839,0.868677056145241,23.0236707798257,4.00171875,9.6317875,0.584530000272535,1.75,9.5,6,2.75,1005
"10",5.76002778797699,0.652601453397092,5.05560370496683,17.8568260848011,16.1107774890752,0.860126399894984,36.8250649660306,4.36109394313968,9.94982694684796,0.561691478008947,1.5,8.75,5.75,2.75,1006
"11",6.637528506406,0.609791797968314,5.81263187588601,18.5071503978273,17.118933336272,0.830395842650405,26.3371676541589,4.8348291835553,11.5533873769543,0.581522801425371,2.25,10,7,3.25,1007
"12",6.52144560707348,0.601824504228432,5.7140701215635,17.9354081904621,16.4632380789026,0.834324207110111,25.3522753328269,4.72097961494904,11.2077010192525,0.578773594438382,2,9.75,6.75,3.5,1008
"13",7.04807832011106,0.560014438255825,6.19147680916879,17.6659511384154,16.0264535321365,0.80424447628486,33.0206842815494,4.48018458197611,11.4542562432139,0.608862898921926,2,10,6.75,3.5,1009
"14",7.23413611068821,0.488558562874284,6.41910097545197,15.8832166286951,13.8453631286193,0.768285092264113,43.9250772942561,3.98352361183186,10.8687804878049,0.633489367431654,1.5,9.25,6.25,4.25,101
"15",7.36514266332902,0.568890066459488,6.45448264936708,18.2695562189018,16.87050769101,0.795045843212895,33.3406244277336,4.62235198261814,12.0025529603476,0.614885933193644,2.5,10.75,7.25,3.75,1010
